source,target,value,year
FRA_E,CAN,2582422.007,2001
FRA_E,CHN,2940382.885,2001
FRA_E,DEU,41519873.03,2001
FRA_E,GBR,28480821.82,2001
FRA_E,IDN,442919.627,2001
FRA_E,IND,910128.276,2001
FRA_E,ITA,25427013.16,2001
FRA_E,JPN,4849796.787,2001
FRA_E,KOR,2121799.134,2001
FRA_E,MEX,1240194.296,2001
FRA_E,RUS,2053070.674,2001
FRA_E,SAU,1333301.32,2001
FRA_E,TUR,1981578.068,2001
FRA_E,USA,25615806,2001
FRA_E,ZAF,973934.641,2001
GBR_E,ARG,383981.54,2001
GBR_E,AUS,3345248.964,2001
GBR_E,BRA,1174434.512,2001
GBR_E,CAN,4688269.05,2001
GBR_E,CHN,2480854.755,2001
GBR_E,DEU,34086816.1,2001
GBR_E,FRA,27630946.32,2001
GBR_E,IDN,448915.625,2001
GBR_E,IND,2956997.94,2001
GBR_E,ITA,12328949.79,2001
GBR_E,JPN,5404365.166,2001
GBR_E,KOR,2129729.779,2001
GBR_E,MEX,1007293.248,2001
GBR_E,RUS,1295340.516,2001
GBR_E,SAU,2424587.612,2001
GBR_E,TUR,1749635.226,2001
GBR_E,USA,42945682.18,2001
GBR_E,ZAF,2246448.103,2001
IDN_E,ARG,72349.475,2001
IDN_E,AUS,1842293.64,2001
IDN_E,BRA,201953.132,2001
IDN_E,CAN,390156.487,2001
IDN_E,CHN,2200670.391,2001
IDN_E,DEU,1296979.295,2001
IDN_E,EUN,10396425.93,2001
IDN_E,FRA,674365.502,2001
IDN_E,GBR,1383095.429,2001
IDN_E,IND,1053939.504,2001
IDN_E,ITA,621844.469,2001
IDN_E,JPN,13010175.4,2001
IDN_E,KOR,3772463.005,2001
IDN_E,MEX,229928.234,2001
IDN_E,RUS,62145.045,2001
IDN_E,SAU,482471.931,2001
IDN_E,TUR,176286.043,2001
IDN_E,USA,7761327.774,2001
IDN_E,ZAF,160061.04,2001
IND_E,ARG,83688.906,2001
IND_E,AUS,398279.751,2001
IND_E,BRA,230498.296,2001
IND_E,CAN,576740.487,2001
IND_E,CHN,922542.343,2001
IND_E,DEU,1784762.637,2001
IND_E,EUN,12055714.88,2001
IND_E,FRA,988893.972,2001
IND_E,GBR,2196628.745,2001
IND_E,IDN,476779.146,2001
IND_E,ITA,1267819.337,2001
IND_E,JPN,1551243.999,2001
IND_E,KOR,457427.393,2001
IND_E,MEX,230118.945,2001
IND_E,RUS,839594.989,2001
IND_E,SAU,796384.299,2001
IND_E,TUR,211950.031,2001
IND_E,USA,8404055.704,2001
IND_E,ZAF,326688.879,2001
ITA_E,ARG,809796.517,2001
ITA_E,AUS,1760866.548,2001
ITA_E,BRA,2319295.305,2001
ITA_E,CAN,2300640.554,2001
ITA_E,CHN,2901082.752,2001
ITA_E,DEU,35665701.83,2001
ITA_E,FRA,29892148.43,2001
ITA_E,GBR,16438944.74,2001
ITA_E,IDN,442477.098,2001
ITA_E,IND,874977.603,2001
ITA_E,JPN,4173389.44,2001
ITA_E,KOR,1809083.824,2001
ITA_E,MEX,1753037.365,2001
ITA_E,RUS,3156032.676,2001
ITA_E,SAU,1584846.28,2001
ITA_E,TUR,3421815.885,2001
ITA_E,USA,23402907.13,2001
ITA_E,ZAF,949342.232,2001
JPN_E,ARG,500344.568,2001
JPN_E,AUS,7684718.499,2001
JPN_E,BRA,2474447.777,2001
JPN_E,CAN,6564225.061,2001
JPN_E,CHN,30994259.75,2001
JPN_E,DEU,15619649.87,2001
JPN_E,EUN,72655643.98,2001
JPN_E,FRA,6281121.292,2001
JPN_E,GBR,12146534.23,2001
JPN_E,IDN,6404392.531,2001
JPN_E,IND,1924663.629,2001
JPN_E,ITA,4814306.345,2001
JPN_E,KOR,25296856.34,2001
JPN_E,MEX,4092755.176,2001
JPN_E,RUS,716612.879,2001
JPN_E,SAU,3599851.647,2001
JPN_E,TUR,735512.36,2001
JPN_E,USA,122542922.5,2001
JPN_E,ZAF,1494966.896,2001
KOR_E,ARG,302100.91,2001
KOR_E,AUS,2173195.4,2001
KOR_E,BRA,1611210.138,2001
KOR_E,CAN,2035724.654,2001
KOR_E,CHN,18186813.89,2001
KOR_E,DEU,4321707.247,2001
KOR_E,EUN,20828970.9,2001
KOR_E,FRA,1598811.53,2001
KOR_E,GBR,3489987.554,2001
KOR_E,IDN,3279747.24,2001
KOR_E,IND,1407728.354,2001
KOR_E,ITA,2063180.282,2001
KOR_E,JPN,16502319.15,2001
KOR_E,MEX,2148901.944,2001
KOR_E,RUS,938161.256,2001
KOR_E,SAU,1275484.947,2001
KOR_E,TUR,697084.837,2001
KOR_E,USA,31357343.07,2001
KOR_E,ZAF,422933.23,2001
MEX_E,ARG,304168.407,2001
MEX_E,AUS,161825.965,2001
MEX_E,BRA,713648.309,2001
MEX_E,CAN,3254290.867,2001
MEX_E,CHN,384785.392,2001
MEX_E,DEU,1500467.154,2001
MEX_E,EUN,6919643.537,2001
MEX_E,FRA,333891.773,2001
MEX_E,GBR,754472.106,2001
MEX_E,IDN,21043.84,2001
MEX_E,IND,187601.352,2001
MEX_E,ITA,269565.183,2001
MEX_E,JPN,1266153.821,2001
MEX_E,KOR,208508.773,2001
MEX_E,RUS,27469.165,2001
MEX_E,SAU,13800.63,2001
MEX_E,TUR,8601.812,2001
MEX_E,USA,136373541.7,2001
MEX_E,ZAF,18622.86,2001
RUS_E,ARG,10127.634,2001
RUS_E,AUS,10378.459,2001
RUS_E,BRA,191162.297,2001
RUS_E,CAN,59740.032,2001
RUS_E,CHN,5596012.922,2001
RUS_E,DEU,9194175.838,2001
RUS_E,EUN,58990809.05,2001
RUS_E,FRA,2250075.211,2001
RUS_E,GBR,4282863.489,2001
RUS_E,IDN,31135.441,2001
RUS_E,IND,1120423.428,2001
RUS_E,ITA,7401528.16,2001
RUS_E,JPN,2426637.146,2001
RUS_E,KOR,1108094.717,2001
RUS_E,MEX,91485.87,2001
RUS_E,SAU,66196.878,2001
RUS_E,TUR,3246301.024,2001
RUS_E,USA,4198804.987,2001
RUS_E,ZAF,5843.609,2001
SAU_E,ARG,1886.935,2001
SAU_E,AUS,176637.287,2001
SAU_E,BRA,4530.139,2001
SAU_E,CAN,17503.489,2001
SAU_E,CHN,365116.99,2001
SAU_E,DEU,18707.49,2001
SAU_E,EUN,11789273.21,2001
SAU_E,FRA,30024.838,2001
SAU_E,GBR,60396.342,2001
SAU_E,IDN,95960.387,2001
SAU_E,IND,302094.778,2001
