source,target,year,value
EUN,SAU,2002,1911099.7649999987
EUN,TUR,2002,1891214.2710000016
EUN,USA,2002,61752981.54099998
EUN,ZAF,2002,-3111094.2119999994
FRA,GBR,2002,2987079.228
FRA,IDN,2002,-172031.21299999993
FRA,IND,2002,-90883.37399999995
FRA,ITA,2002,-3340854.092
FRA,JPN,2002,-927842.7030000007
FRA,KOR,2002,585390.345
FRA,MEX,2002,1078762.24
FRA,RUS,2002,-448383.9809999997
FRA,SAU,2002,1446008.781
FRA,TUR,2002,604852.2859999998
FRA,USA,2002,6824782.855999999
FRA,ZAF,2002,590331.5170000001
GBR,IDN,2002,-761338.378
GBR,IND,2002,451166.4360000002
GBR,ITA,2002,-4741084.829000002
GBR,JPN,2002,-6479178.579000001
GBR,KOR,2002,-1876157.0180000002
GBR,MEX,2002,407162.88899999985
GBR,RUS,2002,-2317013.951
GBR,SAU,2002,2133515.4
GBR,TUR,2002,-923077.6200000001
GBR,USA,2002,13721548.135000002
GBR,ZAF,2002,-100212.8200000003
IDN,IND,2002,532348.1730000001
IDN,ITA,2002,269706.94
IDN,JPN,2002,5808699.148999999
IDN,KOR,2002,962454.9700000002
IDN,MEX,2002,247330.046
IDN,RUS,2002,35662.78
IDN,SAU,2002,400638.704
IDN,TUR,2002,209418.21
IDN,USA,2002,5071513.648
IDN,ZAF,2002,62780.829
IND,ITA,2002,310500.8259999999
IND,JPN,2002,-83362.18200000003
IND,KOR,2002,-761014.7129999999
IND,MEX,2002,-59296.08500000002
IND,RUS,2002,-872194.631
IND,SAU,2002,595970.639
IND,TUR,2002,274406.149
IND,USA,2002,6706171.061999999
IND,ZAF,2002,118772.13199999998
ITA,JPN,2002,-273135.80700000003
ITA,KOR,2002,-180166.70900000026
ITA,MEX,2002,1617896.605
ITA,RUS,2002,-3864397.9960000003
ITA,SAU,2002,1546155.358
ITA,TUR,2002,1384353.614
ITA,USA,2002,14967847.413
ITA,ZAF,2002,197090.4190000001
JPN,KOR,2002,13429404.207
JPN,MEX,2002,2584980.0
JPN,RUS,2002,-858339.8570000001
JPN,SAU,2002,3553515.747
JPN,TUR,2002,718324.4859999999
JPN,USA,2002,72112506.808
JPN,ZAF,2002,63647.02799999993
KOR,MEX,2002,2068970.9519999998
KOR,RUS,2002,-205277.04499999993
KOR,SAU,2002,1441005.883
KOR,TUR,2002,812701.849
KOR,USA,2002,11812129.443
KOR,ZAF,2002,-83599.07999999996
MEX,RUS,2002,-82077.095
MEX,SAU,2002,11536.376
MEX,TUR,2002,-48303.73700000001
MEX,USA,2002,51947704.322
MEX,ZAF,2002,-50813.225000000006
RUS,SAU,2002,130380.24200000001
RUS,TUR,2002,2190059.072
RUS,USA,2002,1690348.6579999998
RUS,ZAF,2002,-1728.762999999999
SAU,TUR,2002,-498400.477
SAU,USA,2002,-3867652.9319999996
SAU,ZAF,2002,-42221.888999999996
TUR,USA,2002,285528.51499999966
TUR,ZAF,2002,-40822.486999999994
USA,ZAF,2002,6794.121000000276
ARG,AUS,2003,59261.700999999994
ARG,BRA,2003,103346.17100000009
ARG,CAN,2003,160693.545
ARG,CHN,2003,2031236.7140000002
ARG,DEU,2003,-56148.93000000005
ARG,EUN,2003,4147563.5569999996
ARG,FRA,2003,-79345.47399999999
ARG,GBR,2003,162204.732
ARG,IDN,2003,17888.559999999998
ARG,IND,2003,482052.74400000006
ARG,ITA,2003,452802.06299999997
ARG,JPN,2003,78595.91399999999
ARG,KOR,2003,272691.17500000005
ARG,MEX,2003,561158.669
ARG,RUS,2003,191643.945
ARG,SAU,2003,136789.28199999998
ARG,TUR,2003,156811.432
ARG,USA,2003,898913.392
ARG,ZAF,2003,246668.976
AUS,BRA,2003,-2590.505999999994
AUS,CAN,2003,82024.77099999995
AUS,CHN,2003,-341488.2580000004
AUS,DEU,2003,-3928426.692
